Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
61,Antonee Robinson,Fulham,27,"D(L),M(L)",37,3269,-,6,6,-,0.4,75.9,1.1,1,6.92,0.9,2.5,2.2,2,1.6,2.9,0.2,0.5,0.5,0.9,0.1,1.3,0.4,0.8,44.0,2.7,-,16.0,0.06,1.03,-1.03,0.03
62,Jarrad Branthwaite,Everton,22,D(C),35,3117,3,-,8,-,0.4,80.1,2.7,-,6.9,0.7,1.9,1.4,-,0.5,4.5,1,0.5,0.5,0.1,0.1,0.6,0.1,-,39.2,2.1,-,14.0,0.16,2.19,0.81,0.06
63,Gabriel Jesus,Arsenal,27,"AM(LR),FW",17(10),1482,4,5,6,-,2,81.0,0.6,2,6.89,1,0.9,0.5,-,0.5,0.4,-,-,1.2,1.1,0.6,2.3,1.4,-,18.1,0.3,0.2,55.0,0.13,7.22,-3.22,0.44
64,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",24(11),2031,6,4,1,-,1.7,85.0,0.5,1,6.89,0.7,0.9,0.1,-,0.5,0.2,-,-,0.7,1.3,0.3,1.5,1.2,0.8,23.1,0.7,0.1,58.0,0.12,7.01,-1.01,0.31
65,Ryan Christie,Bournemouth,29,"M(CLR),FW",35(2),2922,-,5,6,-,1.2,79.3,0.6,2,6.89,1.3,2.3,1.4,-,1.4,1.4,0.3,0.1,1,1.5,0.1,1.6,1.3,0.5,33.0,2.4,0.2,43.0,0.06,2.37,-2.37,0.07
66,Darwin Núñez,Liverpool,25,"AM(CL),FW",22(14),2050,11,8,9,-,3,71.6,0.9,-,6.89,0.8,0.6,0.1,-,0.3,0.3,0.2,-,0.4,0.9,0.9,1.5,0.8,0.1,12.9,0.3,-,108.0,0.17,18.0,-7,0.79
67,Tomás Soucek,West Ham,29,M(C),34(3),2876,7,2,7,-,1.2,75.7,2.9,3,6.88,1.1,1.4,1,-,0.7,2.9,0.8,0.1,0.6,0.5,0.3,0.5,0.3,0.1,25.6,0.8,-,43.0,0.18,7.68,-0.68,0.24
68,Kaoru Mitoma,Brighton,27,M(L),15(4),1488,3,4,4,-,1.8,83.4,0.6,1,6.88,0.7,0.7,0.3,-,0.7,0.6,0.1,-,1.2,1.3,0.4,2,0.8,0.3,31.4,0.3,-,34.0,0.13,4.43,-1.43,0.27
69,Ethan Pinnock,Brentford,31,D(C),28(1),2521,2,-,1,-,0.7,84.0,3.9,1,6.88,0.1,1.2,1.5,-,0.4,5.8,0.8,0.5,0.4,0.1,-,0.4,0.1,-,48.2,2.4,-,19.0,0.15,2.93,-0.93,0.1
70,Jean-Philippe Mateta,Crystal Palace,27,FW,25(10),2285,16,5,3,-,1.3,73.8,1.4,2,6.88,1,0.6,0.1,-,0.1,0.4,0.1,-,0.6,0.9,0.7,2.5,2.2,0.1,11.8,0.2,-,46.0,0.24,11.09,4.91,0.44
71,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",25(8),2113,8,2,6,-,2.1,74.3,1.6,3,6.88,1.3,0.7,0.2,-,0.5,0.6,0.1,-,0.7,0.9,0.1,1.8,1.6,0.2,17.8,0.5,0.1,70.0,0.09,6.14,1.86,0.26
72,Joachim Andersen,Crystal Palace,28,D(C),38,3418,2,3,7,-,0.6,79.5,2.4,4,6.88,1.1,1.5,1.1,-,0.3,5.3,0.5,0.5,0.6,0.5,-,0.3,0.2,0.3,56.7,5.3,0.1,21.0,0.1,2.08,-0.08,0.05
73,Yoane Wissa,Brentford,28,"AM(L),FW",29(5),2509,12,3,7,-,2,73.2,1.1,2,6.87,1.1,0.8,0.3,-,0.4,0.4,0.1,0.1,1.5,0.9,0.6,1.7,0.6,0.1,12.9,0.4,0.1,67.0,0.17,11.48,0.52,0.41
74,Cody Gakpo,Liverpool,25,"AM(CLR),FW",17(18),1646,8,5,1,-,1.9,79.3,0.9,2,6.87,0.8,0.8,0.4,-,0.5,0.2,0.1,-,1.1,0.7,0.2,1.3,0.9,0.2,15.3,0.3,-,66.0,0.13,8.75,-0.75,0.48
75,Harry Maguire,Man Utd,31,D(C),18(4),1651,2,2,4,-,0.9,83.4,3.1,-,6.87,1,1.1,1.1,-,0.5,3.8,1.1,0.5,0.5,0.3,0.3,0.4,0.1,-,49.8,3.3,-,20.0,0.11,2.25,-0.25,0.12
76,Marcus Tavernier,Bournemouth,25,M(CLR),25(5),2134,3,4,3,-,1.8,79.3,0.4,1,6.86,0.7,1.8,0.2,-,0.7,0.6,0.1,-,0.7,1.5,0.1,1.8,1.4,0.8,25.3,0.9,0.1,53.0,0.08,4.4,-1.4,0.19
77,Simon Adingra,Brighton,22,"M(LR),FW",25(6),2233,6,1,3,-,1.7,81.1,0.3,3,6.86,0.9,1.5,0.6,-,0.7,0.7,-,-,0.6,1.1,0.5,1.5,0.9,0.5,24.1,0.5,0.2,52.0,0.09,4.68,1.32,0.19
78,Mario Lemina,Wolves,31,"D(C),M(C)",34(1),2976,4,1,10,1,1.4,86.7,1,2,6.85,1.2,2.6,1.2,-,0.6,1.6,0.3,-,0.7,0.6,0.2,0.9,0.6,0.1,41.1,1.7,0.1,48.0,0.09,4.52,-0.52,0.14
79,Moisés Caicedo,Chelsea,23,"D(R),DMC",33(2),2875,1,3,11,-,0.4,90.8,0.9,2,6.85,1.4,2.6,1.1,-,0.7,0.9,0.7,0.1,1.4,0.7,-,1,0.7,-,59.9,2.5,0.1,13.0,0.03,0.39,0.61,0.01
80,William Saliba,Arsenal,23,D(C),38,3420,2,1,4,-,0.3,92.6,1.9,2,6.85,0.6,1.1,0.8,-,0.2,2.1,0.4,0.4,0.4,0.2,-,0.6,0.3,-,74.7,1.8,0.1,10.0,0.22,2.24,-0.24,0.06
81,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,2,-,1,-,0.9,74.9,1.1,2,6.85,0.8,2.5,1.3,-,0.9,2.9,0.4,0.4,0.3,0.5,-,1.4,0.4,0.5,31.5,1.9,-,26.0,0.07,1.7,0.3,0.06
