Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
95,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,6,3,1.6,0.6,0.3,1.3,0.2,0.9,1.2,6.82
96,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,1,1,1.2,0.9,0.4,0.9,0.1,0.5,0.9,6.82
97,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1,1,0.5,0.3,0.4,0.6,0.2,0.2,1,6.82
98,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,-,2,0.4,0.9,0.2,1.7,-,0.3,0.7,6.81
99,Dominik Szoboszlai,Liverpool,24,AM(CLR),25(8),2110,3,2,1.8,1.7,0.7,0.9,0.1,0.8,0.8,6.81
100,Craig Dawson,Wolves,34,D(CR),25,2211,1,1,0.6,0.4,0.1,0.6,0.2,0.1,0.2,6.81
101,Fabian Schär,Newcastle,33,D(C),35(1),3057,4,1,1,0.3,0.4,0.7,-,0.3,0.5,6.81
102,Oleksandr Zinchenko,Arsenal,28,"D(L),M(CLR)",20(7),1727,1,2,0.6,1.1,0.3,0.3,-,0.6,0.4,6.81
103,Raheem Sterling,Chelsea,30,"M(CLR),FW",22(9),1983,8,4,1.6,1,1.5,1.3,0.3,1.4,1.7,6.80
104,Tosin Adarabioyo,Fulham,27,D(CR),18(2),1617,2,-,0.7,0.1,0.1,0.3,-,0.2,0.2,6.80
105,Kobbie Mainoo,Man Utd,19,DMC,24,1942,3,1,0.5,0.6,1.3,1,-,1,1.2,6.80
106,Marcos Senesi,Bournemouth,27,D(C),26(5),2248,4,5,0.4,0.7,0.4,0.4,-,0.4,0.6,6.80
107,Christian Nørgaard,Brentford,30,"D(C),DMC",30(1),2513,2,1,1.1,0.8,0.2,1,-,0.5,0.7,6.80
108,Boubacar Kamara,Aston Villa,25,"D(CL),DMC",20,1662,-,1,0.3,1,0.7,1.5,-,0.7,1,6.79
109,Micky van de Ven,Tottenham,23,D(CL),27,2344,3,-,0.3,-,0.6,0.6,-,0.4,0.6,6.79
110,Hwang Hee-Chan,Wolves,28,"AM(CLR),FW",25(4),2133,12,3,1.6,0.6,1.2,1.1,0.5,1.1,1.9,6.79
