Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
149,Jordan Pickford,Everton,30,GK,38,3420,-,-,5,-,-,59.4,-,1,6.71
150,Emiliano Martínez,Aston Villa,32,GK,34,3016,-,-,4,-,-,81.4,0.1,-,6.71
151,Harvey Elliott,Liverpool,21,AM(CR),11(23),1339,3,6,2,-,1.4,87.7,0.3,2,6.70
152,Rasmus Højlund,Man Utd,21,FW,25(5),2172,10,2,2,-,1.3,77,0.8,1,6.70
153,Murillo,Nottingham Forest,22,D(C),32,2793,-,2,5,-,0.5,77.6,1.2,-,6.69
154,Marcus Rashford,Man Utd,27,"AM(CLR),FW",26(7),2279,7,2,2,-,1.9,79.2,0.5,-,6.69
155,Lucas Digne,Aston Villa,31,"D(CL),M(L)",27(6),2413,1,3,7,-,0.6,81.4,1.3,-,6.68
156,Bernd Leno,Fulham,32,GK,38,3420,-,-,3,-,-,77.2,0.3,3,6.68
157,Vitaly Janelt,Brentford,26,"D(L),DMC",37(1),3072,1,3,8,-,0.6,79.9,0.9,1,6.68
158,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",7(13),692,2,2,-,-,1.4,80.1,0.8,1,6.68
159,Sean Longstaff,Newcastle,27,DMC,30(5),2748,6,2,7,-,1.2,80.9,0.5,-,6.67
160,João Gomes,Wolves,23,M(C),32(2),2660,2,1,11,-,0.8,83.3,0.5,1,6.67
161,Mykhailo Mudryk,Chelsea,23,AM(L),18(13),1581,5,2,5,-,1.1,76.9,0.2,-,6.67
162,Raúl Jiménez,Fulham,33,FW,18(6),1404,7,-,3,1,1.7,69.7,1.8,1,6.67
163,Matty Cash,Aston Villa,27,"D(R),M(CLR)",23(6),2144,2,2,8,-,1.1,84,0.5,1,6.66
164,Nathan Collins,Brentford,23,D(CR),29(3),2650,1,1,3,-,0.3,81.5,2.3,-,6.66
165,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",18(8),1634,-,1,4,-,0.6,72.4,1.2,-,6.66
166,Dara O'Shea,Burnley,25,D(CR),32(1),2895,3,4,5,1,0.6,79.7,3.8,-,6.66
167,Pape Sarr,Tottenham,22,M(C),27(7),2087,3,3,9,-,1.1,88.7,0.7,1,6.66
168,Josh Cullen,Burnley,28,DMC,23(2),2060,2,3,9,-,0.6,86.7,0.8,1,6.65
169,Elliot Anderson,Newcastle,22,M(CL),10(11),1024,-,2,3,-,0.9,82.9,0.9,1,6.65
170,James Trafford,Burnley,22,GK,28,2520,-,-,2,-,-,62.1,0.6,1,6.65
171,Alisson Becker,Liverpool,32,GK,28,2520,-,-,1,-,-,85.1,0.3,-,6.65
172,Moussa Diaby,Aston Villa,25,"M(CLR),FW",25(13),2188,6,8,1,-,1.4,82.6,0.1,2,6.65
173,Mark Flekken,Brentford,31,GK,37,3286,-,1,3,-,-,69.4,0.3,2,6.65
174,Teden Mengi,Luton,22,D(C),28(2),2470,1,-,3,-,0.4,78.2,2,-,6.65
175,Bart Verbruggen,Brighton,22,GK,21,1890,-,-,3,-,-,85.6,0.3,-,6.64
176,Ezri Konsa,Aston Villa,27,D(CR),35,3074,1,-,5,-,0.5,92.2,0.9,-,6.64
177,Mateo Kovacic,Man City,30,M(CL),16(14),1549,1,-,4,-,0.7,94.1,0.1,-,6.63
178,Abdoulaye Doucouré,Everton,31,M(C),32,2643,7,2,7,-,1.5,78.5,0.8,-,6.63
179,Ederson,Man City,31,GK,33,2789,-,-,5,-,-,85.9,0.3,-,6.63
180,Timothy Castagne,Fulham,29,"D(CLR),M(LR)",29(5),2634,1,3,3,-,0.4,81.3,1,-,6.63
181,Youri Tielemans,Aston Villa,27,M(C),17(15),1622,2,6,3,-,0.4,86,0.4,1,6.63
182,Vinicius Souza,Sheff Utd,25,DMC,29(7),2673,1,-,3,-,0.4,80.3,1.9,1,6.62
183,Wilson Odobert,Burnley,20,"AM(CLR),FW",25(4),2109,3,2,3,-,1.7,79.4,0.3,-,6.62
184,Djordje Petrovic,Chelsea,25,GK,22(1),1986,-,-,2,-,-,76.4,0.3,-,6.62
185,Jack Harrison,Everton,28,"AM(CLR),FW",25(4),2220,3,3,1,-,1.2,72.7,0.4,-,6.62
186,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",25(11),2434,5,9,1,-,1.5,75.3,0.5,1,6.62
187,Harvey Barnes,Newcastle,27,AM(CL),7(14),795,5,3,2,-,1.3,79.1,0.2,-,6.61
188,Gabriel Osho,Luton,26,"D(CR),DMC",21,1848,2,-,3,-,0.5,82.5,1.8,-,6.61
189,Kristoffer Ajer,Brentford,26,"D(CLR),DMC",21(7),1836,2,1,5,-,0.4,75.9,2.3,-,6.61
190,Josh Brownhill,Burnley,29,M(CR),23(10),2253,4,2,4,1,0.8,80.3,1.1,1,6.61
191,Nicolás Domínguez,Nottingham Forest,26,M(CLR),19(7),1505,2,2,4,-,0.8,85.4,0.8,1,6.61
192,Ola Aina,Nottingham Forest,28,"D(CLR),M(LR)",20(2),1701,1,1,3,-,0.5,79.9,0.8,1,6.61
193,Pau Torres,Aston Villa,27,D(C),27(2),2464,2,-,1,-,0.4,87.8,0.8,1,6.61
194,Dango Ouattara,Bournemouth,22,"D(L),M(LR)",12(18),1222,1,2,3,-,1,67.6,1.2,2,6.61
195,Joe Gomez,Liverpool,27,D(CLR),17(15),1779,-,1,5,-,0.6,86.2,1,-,6.60
196,Michail Antonio,West Ham,34,"D(R),M(CLR),FW",21(5),1711,6,2,6,-,1.2,64.6,1.3,1,6.60
197,Jonny Evans,Man Utd,36,D(CL),15(8),1396,-,1,2,-,-,87.9,1.6,-,6.60
198,Nélson Semedo,Wolves,31,"D(CLR),M(R)",36,3091,-,1,11,1,0.5,80.9,0.6,-,6.60
