Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
169,Elliot Anderson,Newcastle,22,M(CL),10(11),1024,2,0.7,19.8,82.9,0.1,0.2,-,6.65
170,James Trafford,Burnley,22,GK,28,2520,-,-,48.9,62.1,-,6.5,-,6.65
171,Alisson Becker,Liverpool,32,GK,28,2520,-,-,35.6,85.1,-,3,-,6.65
172,Moussa Diaby,Aston Villa,25,"M(CLR),FW",25(13),2188,8,1.2,15,82.6,0.3,0.2,0.1,6.65
173,Mark Flekken,Brentford,31,GK,37,3286,1,0.1,39.1,69.4,-,8.7,-,6.65
174,Teden Mengi,Luton,22,D(C),28(2),2470,-,0.2,30.9,78.2,-,2.3,-,6.65
175,Bart Verbruggen,Brighton,22,GK,21,1890,-,-,35.4,85.6,-,4.3,-,6.64
176,Ezri Konsa,Aston Villa,27,D(CR),35,3074,-,0.2,55.8,92.2,0.1,1.3,-,6.64
177,Mateo Kovacic,Man City,30,M(CL),16(14),1549,-,0.7,50.8,94.1,-,0.7,0.1,6.63
178,Abdoulaye Doucouré,Everton,31,M(C),32,2643,2,1.1,27.1,78.5,0.1,0.5,-,6.63
179,Ederson,Man City,31,GK,33,2789,-,-,33.2,85.9,-,5.6,-,6.63
180,Timothy Castagne,Fulham,29,"D(CLR),M(LR)",29(5),2634,3,0.5,39.7,81.3,0.3,1.5,-,6.63
181,Youri Tielemans,Aston Villa,27,M(C),17(15),1622,6,0.6,28.3,86,0.1,1.1,0.2,6.63
182,Vinicius Souza,Sheff Utd,25,DMC,29(7),2673,-,0.1,27.2,80.3,0.1,1.1,-,6.62
183,Wilson Odobert,Burnley,20,"AM(CLR),FW",25(4),2109,2,1.1,18.8,79.4,0.4,0.3,0.1,6.62
184,Djordje Petrovic,Chelsea,25,GK,22(1),1986,-,-,30.7,76.4,-,4,-,6.62
185,Jack Harrison,Everton,28,"AM(CLR),FW",25(4),2220,3,1,18.4,72.7,0.5,0.5,0.1,6.62
186,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",25(11),2434,9,0.9,17.9,75.3,0.2,0.2,0.1,6.62
187,Harvey Barnes,Newcastle,27,AM(CL),7(14),795,3,0.6,12.1,79.1,0.1,0.1,-,6.61
188,Gabriel Osho,Luton,26,"D(CR),DMC",21,1848,-,0.1,33.4,82.5,-,1.3,-,6.61
189,Kristoffer Ajer,Brentford,26,"D(CLR),DMC",21(7),1836,1,0.4,25.8,75.9,0.2,1.1,-,6.61
190,Josh Brownhill,Burnley,29,M(CR),23(10),2253,2,1,31.2,80.3,0.4,1.3,-,6.61
191,Nicolás Domínguez,Nottingham Forest,26,M(CLR),19(7),1505,2,0.4,31.9,85.4,0.1,1,0.1,6.61
192,Ola Aina,Nottingham Forest,28,"D(CLR),M(LR)",20(2),1701,1,0.5,28.8,79.9,0.3,0.9,-,6.61
193,Pau Torres,Aston Villa,27,D(C),27(2),2464,-,0.3,61,87.8,0.1,2.9,-,6.61
194,Dango Ouattara,Bournemouth,22,"D(L),M(LR)",12(18),1222,2,0.6,14.9,67.6,0.3,0.6,-,6.61
195,Joe Gomez,Liverpool,27,D(CLR),17(15),1779,1,0.7,35.9,86.2,0.2,1.5,-,6.60
196,Michail Antonio,West Ham,34,"D(R),M(CLR),FW",21(5),1711,2,0.3,10.3,64.6,0.1,0.3,-,6.60
197,Jonny Evans,Man Utd,36,D(CL),15(8),1396,1,0.3,35.9,87.9,-,0.7,-,6.60
198,Nélson Semedo,Wolves,31,"D(CLR),M(R)",36,3091,1,0.7,42.1,80.9,0.4,1.3,-,6.60
199,Miguel Almirón,Newcastle,30,"AM(CLR),FW",23(10),1947,1,0.7,23.2,85.8,0.1,0.4,0.1,6.60
200,Takehiro Tomiyasu,Arsenal,26,D(CLR),10(12),1144,1,0.3,27.6,85.5,0.2,0.7,-,6.60
201,Wataru Endo,Liverpool,31,DMC,20(9),1723,-,0.6,45,88.4,0.1,1,0.1,6.59
202,Elijah Adebayo,Luton,26,FW,16(11),1419,-,0.5,7.3,72.6,-,-,-,6.59
203,Axel Disasi,Chelsea,26,D(CR),29(2),2581,-,0.1,70.9,90.6,-,1.5,0.1,6.58
204,Vladimír Coufal,West Ham,32,"D(R),M(R)",36,3140,7,0.9,34.1,73,0.7,1.1,-,6.58
205,Jakub Kiwior,Arsenal,24,"D(CL),DMC",11(9),946,3,0.3,27.2,85.8,0.2,1.1,-,6.58
206,Taiwo Awoniyi,Nottingham Forest,27,FW,12(8),1047,3,0.5,8.6,73.8,-,0.1,0.1,6.58
207,Sander Berge,Burnley,26,M(C),34(3),3009,2,0.8,41.8,88.8,-,2.2,0.1,6.58
208,Gustavo Hamer,Sheff Utd,27,"D(R),M(CL)",34(2),2924,6,1.9,27.3,73.5,0.9,1.2,-,6.58
209,Danny Welbeck,Brighton,34,"AM(CLR),FW",21(8),1707,1,0.8,17.4,83.2,-,-,-,6.58
210,Lyle Foster,Burnley,24,FW,22(2),1908,3,0.8,18.8,68.1,-,0.4,-,6.57
211,Raphaël Varane,Man Utd,31,D(C),16(6),1374,-,-,35.2,89.3,-,1.3,-,6.57
212,Reece Burke,Luton,28,D(CR),20(2),1666,4,0.6,31.1,77.5,0.2,1.6,-,6.57
213,Odsonne Édouard,Crystal Palace,26,"AM(L),FW",17(13),1556,-,0.6,11.2,73.3,0.1,0.1,-,6.56
214,Konstantinos Mavropanos,West Ham,27,D(CR),16(3),1501,-,0.2,33,76.7,-,2.1,-,6.55
215,Marc Guéhi,Crystal Palace,24,D(C),23(2),2023,1,0.3,52,87.2,-,3.4,-,6.55
216,Justin Kluivert,Bournemouth,25,"AM(CLR),FW",26(6),1937,1,0.7,11.9,72.4,0.2,0.4,-,6.55
217,Issa Kaboré,Luton,23,"D(R),M(R)",21(3),1734,2,0.7,22.5,76,0.6,0.6,-,6.55
218,Danilo,Nottingham Forest,23,M(C),20(9),1801,2,0.7,25,80.6,0.1,1.6,-,6.55
219,Toti Gomes,Wolves,25,D(CL),31(4),2779,3,0.2,48.9,82.8,-,1.3,-,6.55
220,Antony,Man Utd,24,AM(R),15(14),1324,1,0.8,19.3,80,0.1,0.4,0.1,6.54
221,David Raya,Arsenal,29,GK,32,2880,-,-,28.3,70.8,-,4.5,-,6.54
222,Eddie Nketiah,Arsenal,25,"AM(C),FW",10(17),1073,2,0.3,7.7,79.9,-,-,0.1,6.53
223,Illia Zabarnyi,Bournemouth,22,D(C),37,3330,-,0.2,48.7,81.6,-,3.5,-,6.53
224,Will Hughes,Crystal Palace,29,M(CLR),23(7),1899,1,0.7,28.2,85.1,0.3,0.3,-,6.53
225,Harry Wilson,Fulham,27,AM(CLR),16(19),1616,6,0.6,16.6,79.2,0.3,0.8,0.1,6.52
226,Tom Cairney,Fulham,33,M(CR),14(20),1480,4,0.8,36.5,90.3,0.1,1.2,-,6.52
227,Nathaniel Clyne,Crystal Palace,33,"D(CLR),M(R)",14(5),1339,-,0.2,28.1,84.2,0.1,1.4,-,6.52
